name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue
01Aero,https://01aero.cn,,,drone / UAV ecosystem member,Member listed on Dronecode Foundation's members page.,"Drone hardware, autonomy, software, or UAV ecosystem services",,,yes,,,https://dronecode.org/our-members/,,,
10 NORD,https://10nord.fr/en/home.html,,,,,,,,,,,https://www.linkedin.com/company/10-nord/,https://www.linkedin.com/company/10-nord/,137,
100KTREEs Project,https://100ktrees.eu,,,,,,,,,,,https://www.linkedin.com/company/100ktrees-project/,https://www.linkedin.com/company/100ktrees-project/,368,
10S SAS,https://10s.com.co,Colombia,Cali,GIS / Esri partner,"10s SAS is a partner and supplier of Esri Colombia, specializing in providing IT services and building solutions that support our clients business processes and help them achieve their objectives. We believe in excellence through innovation and tran","Application Development, Data Model & Database Design, System Architecture and Design, System Integration",yes,,,,,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/10s-sas-a2T5x000008VZaDEAW,,,
12d Synergy,https://12dsynergy.com,Australia,Sydney,data integration / FME partner,12d Synergy partners with Safe Software to support integrated project delivery with FME.,Technology Alliance,yes,,,,,https://fme.safe.com/partners/find-a-partner/ | https://fme.safe.com/partners/12d-synergy/,,,
12d Synergy LLC,https://12dsynergy.com,United States,Wilmington,"Geo Week exhibitor / Architecture, Engineering & Construction (AEC), Infrastructure & Transportation, Surveying & Mapping, Data and Project Management, Design/Engineering Software & Services, Land Surveying, Software, Technology Integration","12d Synergy is the leading ISO compliant Information Management offering data management and project collaboration software tailored for the engineering and construction industry. Our solution transforms the lives of our customers by effectively managing thousands of emails, documents, tasks, CAD, and gigabytes of geospatial data surrounding their built environment projects. It’s all about streamlining how a business works and collaborates by creating a common data environment so you can get more done in less time. Loved by customers globally, we are dedicated to providing a more collaborative, less chaotic way to manage work data.","Architecture, Engineering & Construction (AEC), Infrastructure & Transportation, Surveying & Mapping, Data and Project Management, Design/Engineering Software & Services, Land Surveying, Software, Technology Integration",yes,,,,,https://geoweek2026.smallworldlabs.com/exhibitors | https://geoweek2026.smallworldlabs.com/co/12d-synergy-llc | https://geoweek2025.smallworldlabs.com/exhibitors | https://geoweek2025.smallworldlabs.com/co/12d-synergy-llc,,,
12d UK Limited,https://12d.co.uk,,,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,,,yes,,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,,,
"1898 & Co. | Part of Burns & McDonnell Engineering Company, Inc",https://1898andco.burnsmcd.com/what-we-do/enterprise-technology/geospatial,USA,Dallas,data integration / FME partner,"Burns & McDonnell uses FME to streamline engineering, infrastructure, and environmental data processes.",System Integrator,yes,,,,,https://fme.safe.com/partners/find-a-partner/ | https://fme.safe.com/partners/burns-mcdonnell/,,,
1898 Co. part of Burns McDonnell,https://1898andco.com/GIS,United States,Kansas City,GIS / Esri partner,"1898 & Co. part of Burns & McDonnell and its more than 125 years of cross-industry innovation, brings both a broad and deep understanding of complex industries. 1898 & Co. is keenly focused on providing future-focused consulting and technology sol","Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,,,,,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/1898-co-part-of-burn-a2T70000000TNMQEA4,,,
1904Labs,https://1904labs.com,,,geospatial intelligence / USGIF member,Current organizational member listed by USGIF.,"Geospatial intelligence, remote sensing, geospatial software, or related services",yes,yes,,,yes,https://usgif.org/current-organizational-members/,,,
