name,short_name,title,category,year,venue,paper,github,huggingface,code_or_weights,verified_status,source
GeoKR,GeoKR,Geographical Knowledge-Driven Representation Learning for Remote Sensing Images,vision,2021,TGRS2021,https://ieeexplore.ieee.org/abstract/document/9559903,https://github.com/flyakon/Geographical-Knowledge-driven-Representaion-Learning,,https://github.com/flyakon/Geographical-Knowledge-driven-Representaion-Learning,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
Self-Supervised Learning of Remote Sensing Scene Representations Using Contrastive Multiview Coding,,Self-Supervised Learning of Remote Sensing Scene Representations Using Contrastive Multiview Coding,vision,2021,CVPRW2021,https://openaccess.thecvf.com/content/CVPR2021W/EarthVision/html/Stojnic_Self-Supervised_Learning_of_Remote_Sensing_Scene_Representations_Using_Contrastive_Multiview_CVPRW_2021_paper.html,https://github.com/vladan-stojnic/CMC-RSSR,,https://github.com/vladan-stojnic/CMC-RSSR,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
GASSL,GASSL,Geography-Aware Self-Supervised Learning,vision,2021,ICCV2021,https://openaccess.thecvf.com/content/ICCV2021/html/Ayush_Geography-Aware_Self-Supervised_Learning_ICCV_2021_paper.html,https://github.com/sustainlab-group/geography-aware-ssl,,https://github.com/sustainlab-group/geography-aware-ssl,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
SeCo,SeCo,Seasonal Contrast: Unsupervised Pre-Training From Uncurated Remote Sensing Data,vision,2021,ICCV2021,https://openaccess.thecvf.com/content/ICCV2021/html/Manas_Seasonal_Contrast_Unsupervised_Pre-Training_From_Uncurated_Remote_Sensing_Data_ICCV_2021_paper.html,https://github.com/ServiceNow/seasonal-contrast,,https://github.com/ServiceNow/seasonal-contrast,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
RSP,RSP,An Empirical Study of Remote Sensing Pretraining,vision,2022,TGRS2022,https://ieeexplore.ieee.org/abstract/document/9782149,https://github.com/ViTAE-Transformer/Remote-Sensing-RVSA,,https://github.com/ViTAE-Transformer/Remote-Sensing-RVSA,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
MATTER,MATTER,Self-Supervised Material and Texture Representation Learning for Remote Sensing Tasks,vision,2022,CVPR2022,https://openaccess.thecvf.com/content/CVPR2022/html/Akiva_Self-Supervised_Material_and_Texture_Representation_Learning_for_Remote_Sensing_Tasks_CVPR_2022_paper.html,https://github.com/periakiva/MATTER,,https://github.com/periakiva/MATTER,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
Self-supervised Vision Transformers for Land-cover Segmentation and Classification,,Self-supervised Vision Transformers for Land-cover Segmentation and Classification,vision,2022,CVPRW2022,https://openaccess.thecvf.com/content/CVPR2022W/EarthVision/html/Scheibenreif_Self-Supervised_Vision_Transformers_for_Land-Cover_Segmentation_and_Classification_CVPRW_2022_paper.html,https://github.com/HSG-AIML/SSLTransformerRS,,https://github.com/HSG-AIML/SSLTransformerRS,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
DINO-MM,DINO-MM,Self-Supervised Vision Transformers for Joint SAR-Optical Representation Learning,vision,2022,IGARSS2022,https://doi.org/10.1109/igarss46834.2022.9883983,https://github.com/zhu-xlab/DINO-MM,,https://github.com/zhu-xlab/DINO-MM,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
GeCo,GeCo,Geographical Supervision Correction for Remote Sensing Representation Learning,vision,2022,TGRS2022,https://ieeexplore.ieee.org/abstract/document/9869651,https://github.com/GeoX-Lab/G-RSIM,,https://github.com/GeoX-Lab/G-RSIM,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
RingMo,RingMo,RingMo: A remote sensing foundation model with masked image modeling,vision,2022,TGRS2022,https://ieeexplore.ieee.org/abstract/document/9844015,https://github.com/comeony/RingMo,,https://github.com/comeony/RingMo,link-reachable,https://github.com/Jack-bo1220/Awesome-Remote-Sensing-Foundation-Models
